"GT_F/A"	"GT_F/(M+F)"	"BLS_Data"
0.1818181818	0.3333333333	0.311
0.3636363636	0.4444444444	0.156
0.0909090909	0.125	0.311
0.4545454545	0.625	0.937
0.4545454545	0.625	0.311
0.4545454545	0.5	0.926
0.2727272727	0.4285714286	0.761
0.0909090909	0.1111111111	0.429
0	0	0.443
0.1818181818	0.25	0.662
0.1818181818	0.2222222222	0.623
0.2727272727	0.3333333333	0.761
0	0	0.761
0	0	0.467
0.4545454545	0.5555555556	0.926
0.6363636364	0.7777777778	0.926
0.1818181818	0.25	0.761
0.0909090909	0.125	0.761
0.2727272727	0.375	0.761
0.1818181818	0.2222222222	0.818
0.1818181818	0.25	0.837
0.2727272727	0.375	0.601
0.1818181818	0.2857142857	0.601
0	0	0.623
0.2727272727	0.375	0.623
0.2727272727	0.375	0.761
0	0	0.761
0.0909090909	0.1428571429	0.464
0.1818181818	0.3333333333	0.464
0	0	0.761
0.0909090909	0.1111111111	0.761
0.1818181818	0.2857142857	0.03
0.1818181818	0.2857142857	0.007
0.2727272727	0.4285714286	0.03
0.1818181818	0.2857142857	0.007
0	0	0.102
0	0	0.022
0.3636363636	0.5714285714	0.024
0.1818181818	0.2857142857	0.024
0.0909090909	0.125	0.027
0.1818181818	0.25	0.01
0	0	0.01
0	0	0.015
0	0	0.102
0	0	0.033
0	0	0.094
0	0	0.03
0.1818181818	0.2222222222	0.03
0	0	0.027
0	0	0.03
0.0909090909	0.1111111111	0.025
0.0909090909	0.1428571429	0.03
0.1818181818	0.2	0.03
0	0	0.03
0.0909090909	0.125	0.03
0.1818181818	0.25	0.03
0	0	0.03
0	0	0.03
0	0	0.024
0.0909090909	0.1428571429	0.024
0.3636363636	0.5714285714	0.03
0	0	0.03
0.1818181818	0.2	0.027
0.0909090909	0.1111111111	0.031
0.0909090909	0.1	0.011
0.1818181818	0.25	0.03
0	0	0.015
0.0909090909	0.1	0.03
0.1818181818	0.2	0.066
0.1818181818	0.3333333333	0.03
0	0	0.03
0.1818181818	0.2222222222	0.03
0.1818181818	0.2857142857	0.022
0.2727272727	0.4285714286	0.022
0.0909090909	0.1666666667	0.03
0.0909090909	0.125	0.022
0	0	0.03
0	0	0.03
0	0	0.03
0	0	0.03
0.0909090909	0.125	0.006
0	0	0.03
0.2727272727	0.4285714286	0.03
0.0909090909	0.125	0.03
0.0909090909	0.2	0.03
0.0909090909	0.1666666667	0.03
0.1818181818	0.2	0.026
0	0	0.03
0.0909090909	0.1666666667	0.022
0.0909090909	0.125	0.007
0.0909090909	0.125	0.03
0.0909090909	0.1428571429	0.03
0.1818181818	0.25	0.03
0	0	0.03
0	0	0.03
0	0	0.027
0.0909090909	0.125	0.01
0.0909090909	0.1666666667	0.024
0.1818181818	0.2857142857	0.024
0	0	0.352
0.0909090909	0.1111111111	0.08
0.2727272727	0.3333333333	0.411
0.1818181818	0.2222222222	0.411
0	0	0.08
0.0909090909	0.1428571429	0.08
0	0	0.059
0.3636363636	0.5	0.88
0.1818181818	0.2222222222	0.352
0	0	0.065
