Expanded Occupation	Total employed (Thousands)	Women Participation (%)	Original Occupation	Category	Category Total employed (Thousands)	Category Women Participation (%)
Hunter	1	-	Hunters and trappers	Farming, fishing, and forestry occupations	1,184	23.4
Industrial electrical repairer	12	-	Electrical and electronics repairers, industrial and utility	Installation, maintenance, and repair occupations	4,977	4
Industrial electronics repairer	12	-	Electrical and electronics repairers, industrial and utility	Installation, maintenance, and repair occupations	4,977	4
Industrial engineer	221	22.6	Industrial engineers, including health and safety	Architecture and engineering occupations	3,224	16.2
Industrial machinery mechanic	424	3.9	Industrial and refractory machinery mechanics	Installation, maintenance, and repair occupations	4,977	4
Industrial production manager	280	25.7	Industrial production managers	Management occupations	17,804	39.8
Industrial tractor operator	611	8.2	Industrial truck and tractor operators	Transportation and material moving occupations	9,445	17.3
Industrial truck operator	611	8.2	Industrial truck and tractor operators	Transportation and material moving occupations	9,445	17.3
Information clerk	110	78.1	Information and record clerks, all other	Office and administrative support occupations	17,751	72.2
Information clerk	1,267	91	Receptionists and information clerks	Office and administrative support occupations	17,751	72.2
Information research scientist	24	-	Computer and information research scientists	Computer and mathematical occupations	4,804	25.5
Information security analyst	105	20.2	Information security analysts	Computer and mathematical occupations	4,804	25.5
Information systems manager	630	28.6	Computer and information systems managers	Management occupations	17,804	39.8
Inspector	793	37.9	Inspectors, testers, sorters, samplers, and weighers	Production occupations	8,482	28.9
Installation worker	215	5.9	Other installation, maintenance, and repair workers	Installation, maintenance, and repair occupations	4,977	4
Installation worker helper	18	-	Helpers--installation, maintenance, and repair workers	Installation, maintenance, and repair occupations	4,977	4
Instructor	907	65.4	Other teachers and instructors	Education, training, and library occupations	9,215	73
Insulation worker	58	3.1	Insulation workers	Construction and extraction occupations	8,031	3
Insurance claims clerk	237	84.3	Insurance claims and policy processing clerks	Office and administrative support occupations	17,751	72.2
Insurance sales agent	624	51.8	Insurance sales agents	Sales and related occupations	15,815	49.1
Insurance underwriter	104	63.8	Insurance underwriters	Business and financial operations occupations	7,574	54
Interviewer	142	85	Interviewers, except eligibility and loan	Office and administrative support occupations	17,751	72.2
Jailer	408	28.5	Bailiffs, correctional officers, and jailers	Protective service occupations	3,113	22.3
Janitor	2,307	35.2	Janitors and building cleaners	Building and grounds cleaning and maintenance occupations	5,888	40.7
Jeweler	43	-	Jewelers and precious stone and metal workers	Production occupations	8,482	28.9
Job analysis specialist	59	72.3	Compensation, benefits, and job analysis specialists	Business and financial operations occupations	7,574	54
Judge	66	28.1	Judges, magistrates, and other judicial workers	Legal occupations	1,827	52.8
Judicial law clerk	14	-	Judicial law clerks	Legal occupations	1,827	52.8
Kettle operator	10	-	Furnace, kiln, oven, drier, and kettle operators and tenders	Production occupations	8,482	28.9
Kettle tender	10	-	Furnace, kiln, oven, drier, and kettle operators and tenders	Production occupations	8,482	28.9
Kiln operator	10	-	Furnace, kiln, oven, drier, and kettle operators and tenders	Production occupations	8,482	28.9
Kiln tender	10	-	Furnace, kiln, oven, drier, and kettle operators and tenders	Production occupations	8,482	28.9
Kindergarten teacher	712	97.7	Preschool and kindergarten teachers	Education, training, and library occupations	9,215	73
Laboratory animal caretaker	61	84.2	Veterinary assistants and laboratory animal caretakers	Healthcare support occupations	3,506	87.1
